Transaction,Item,date_time,period_day,weekday_weekend,day_of_week
1,Bread,10/30/2016 9:58,morning,weekend,Sunday
2,Scandinavian,10/30/2016 10:05,morning,weekend,Sunday
2,Scandinavian,10/30/2016 10:05,morning,weekend,Sunday
3,Hot chocolate,10/30/2016 10:07,morning,weekend,Sunday
3,Jam,10/30/2016 10:07,morning,weekend,Sunday
3,Cookies,10/30/2016 10:07,morning,weekend,Sunday
4,Muffin,10/30/2016 10:08,morning,weekend,Sunday
5,Coffee,10/30/2016 10:13,morning,weekend,Sunday
5,Pastry,10/30/2016 10:13,morning,weekend,Sunday
5,Bread,10/30/2016 10:13,morning,weekend,Sunday
6,Medialuna,10/30/2016 10:16,morning,weekend,Sunday
6,Pastry,10/30/2016 10:16,morning,weekend,Sunday
6,Muffin,10/30/2016 10:16,morning,weekend,Sunday
7,Medialuna,10/30/2016 10:19,morning,weekend,Sunday
7,Pastry,10/30/2016 10:19,morning,weekend,Sunday
7,Coffee,10/30/2016 10:19,morning,weekend,Sunday
7,Tea,10/30/2016 10:19,morning,weekend,Sunday
8,Pastry,10/30/2016 10:20,morning,weekend,Sunday
8,Bread,10/30/2016 10:20,morning,weekend,Sunday
9,Bread,10/30/2016 10:21,morning,weekend,Sunday
9,Muffin,10/30/2016 10:21,morning,weekend,Sunday
10,Scandinavian,10/30/2016 10:25,morning,weekend,Sunday
10,Medialuna,10/30/2016 10:25,morning,weekend,Sunday
11,Bread,10/30/2016 10:27,morning,weekend,Sunday
11,Medialuna,10/30/2016 10:27,morning,weekend,Sunday
11,Bread,10/30/2016 10:27,morning,weekend,Sunday
12,Jam,10/30/2016 10:30,morning,weekend,Sunday
12,Coffee,10/30/2016 10:30,morning,weekend,Sunday
12,Tartine,10/30/2016 10:30,morning,weekend,Sunday
12,Pastry,10/30/2016 10:30,morning,weekend,Sunday
12,Tea,10/30/2016 10:30,morning,weekend,Sunday
13,Basket,10/30/2016 10:31,morning,weekend,Sunday
13,Bread,10/30/2016 10:31,morning,weekend,Sunday
13,Coffee,10/30/2016 10:31,morning,weekend,Sunday
14,Bread,10/30/2016 10:32,morning,weekend,Sunday
14,Medialuna,10/30/2016 10:32,morning,weekend,Sunday
14,Pastry,10/30/2016 10:32,morning,weekend,Sunday
15,Mineral water,10/30/2016 10:34,morning,weekend,Sunday
15,Scandinavian,10/30/2016 10:34,morning,weekend,Sunday
16,Bread,10/30/2016 10:37,morning,weekend,Sunday
16,Medialuna,10/30/2016 10:37,morning,weekend,Sunday
16,Coffee,10/30/2016 10:37,morning,weekend,Sunday
17,Hot chocolate,10/30/2016 10:38,morning,weekend,Sunday
18,Farm House,10/30/2016 10:41,morning,weekend,Sunday
19,Farm House,10/30/2016 10:43,morning,weekend,Sunday
19,Bread,10/30/2016 10:43,morning,weekend,Sunday
20,Bread,10/30/2016 10:45,morning,weekend,Sunday
20,Medialuna,10/30/2016 10:45,morning,weekend,Sunday
21,Coffee,10/30/2016 10:49,morning,weekend,Sunday
21,Coffee,10/30/2016 10:49,morning,weekend,Sunday
21,Medialuna,10/30/2016 10:49,morning,weekend,Sunday
21,Bread,10/30/2016 10:49,morning,weekend,Sunday
22,Jam,10/30/2016 10:52,morning,weekend,Sunday
23,Scandinavian,10/30/2016 10:53,morning,weekend,Sunday
23,Muffin,10/30/2016 10:53,morning,weekend,Sunday
24,Bread,10/30/2016 10:54,morning,weekend,Sunday
25,Scandinavian,10/30/2016 10:55,morning,weekend,Sunday
26,Fudge,10/30/2016 10:56,morning,weekend,Sunday
27,Scandinavian,10/30/2016 11:02,morning,weekend,Sunday
28,Coffee,10/30/2016 11:03,morning,weekend,Sunday
28,Bread,10/30/2016 11:03,morning,weekend,Sunday
29,Bread,10/30/2016 11:05,morning,weekend,Sunday
29,Jam,10/30/2016 11:05,morning,weekend,Sunday
30,Bread,10/30/2016 11:07,morning,weekend,Sunday
31,Basket,10/30/2016 11:12,morning,weekend,Sunday
32,Scandinavian,10/30/2016 11:16,morning,weekend,Sunday
32,Muffin,10/30/2016 11:16,morning,weekend,Sunday
33,Coffee,10/30/2016 11:22,morning,weekend,Sunday
34,Coffee,10/30/2016 11:25,morning,weekend,Sunday
34,Muffin,10/30/2016 11:25,morning,weekend,Sunday
35,Muffin,10/30/2016 11:27,morning,weekend,Sunday
35,Scandinavian,10/30/2016 11:27,morning,weekend,Sunday
36,Tea,10/30/2016 11:33,morning,weekend,Sunday
36,Bread,10/30/2016 11:33,morning,weekend,Sunday
37,Coffee,10/30/2016 11:37,morning,weekend,Sunday
37,Bread,10/30/2016 11:37,morning,weekend,Sunday
38,Bread,10/30/2016 11:42,morning,weekend,Sunday
38,Tea,10/30/2016 11:42,morning,weekend,Sunday
39,Scandinavian,10/30/2016 11:44,morning,weekend,Sunday
40,Juice,10/30/2016 11:55,morning,weekend,Sunday
40,Tartine,10/30/2016 11:55,morning,weekend,Sunday
40,Coffee,10/30/2016 11:55,morning,weekend,Sunday
40,Muffin,10/30/2016 11:55,morning,weekend,Sunday
41,Scandinavian,10/30/2016 11:57,morning,weekend,Sunday
42,Bread,10/30/2016 11:57,morning,weekend,Sunday
42,Tea,10/30/2016 11:57,morning,weekend,Sunday
43,Scandinavian,10/30/2016 12:00,afternoon,weekend,Sunday
43,Fudge,10/30/2016 12:00,afternoon,weekend,Sunday
44,Coffee,10/30/2016 12:05,afternoon,weekend,Sunday
44,Medialuna,10/30/2016 12:05,afternoon,weekend,Sunday
45,Coffee,10/30/2016 12:08,afternoon,weekend,Sunday
45,Hot chocolate,10/30/2016 12:08,afternoon,weekend,Sunday
45,Medialuna,10/30/2016 12:08,afternoon,weekend,Sunday
46,Coffee,10/30/2016 12:09,afternoon,weekend,Sunday
47,Ella's Kitchen Pouches,10/30/2016 12:15,afternoon,weekend,Sunday
47,Juice,10/30/2016 12:15,afternoon,weekend,Sunday
47,Bread,10/30/2016 12:15,afternoon,weekend,Sunday
47,Muffin,10/30/2016 12:15,afternoon,weekend,Sunday
47,Jam,10/30/2016 12:15,afternoon,weekend,Sunday
48,Coffee,10/30/2016 12:17,afternoon,weekend,Sunday
49,Coffee,10/30/2016 12:23,afternoon,weekend,Sunday
49,Coffee,10/30/2016 12:23,afternoon,weekend,Sunday
49,Medialuna,10/30/2016 12:23,afternoon,weekend,Sunday
50,Bread,10/30/2016 12:25,afternoon,weekend,Sunday
50,Victorian Sponge,10/30/2016 12:25,afternoon,weekend,Sunday
51,Bread,10/30/2016 12:26,afternoon,weekend,Sunday
52,Scandinavian,10/30/2016 12:28,afternoon,weekend,Sunday
54,Bread,10/30/2016 12:33,afternoon,weekend,Sunday
55,Frittata,10/30/2016 12:38,afternoon,weekend,Sunday
55,Coffee,10/30/2016 12:38,afternoon,weekend,Sunday
55,Tea,10/30/2016 12:38,afternoon,weekend,Sunday
55,Hearty & Seasonal,10/30/2016 12:38,afternoon,weekend,Sunday
56,Coffee,10/30/2016 12:39,afternoon,weekend,Sunday
56,Frittata,10/30/2016 12:39,afternoon,weekend,Sunday
57,Scandinavian,10/30/2016 12:45,afternoon,weekend,Sunday
58,Victorian Sponge,10/30/2016 12:59,afternoon,weekend,Sunday
58,Hot chocolate,10/30/2016 12:59,afternoon,weekend,Sunday
58,Tea,10/30/2016 12:59,afternoon,weekend,Sunday
58,Soup,10/30/2016 12:59,afternoon,weekend,Sunday
59,Tea,10/30/2016 13:02,afternoon,weekend,Sunday
60,Cookies,10/30/2016 13:14,afternoon,weekend,Sunday
60,Coffee,10/30/2016 13:14,afternoon,weekend,Sunday
60,Juice,10/30/2016 13:14,afternoon,weekend,Sunday
60,Coffee,10/30/2016 13:14,afternoon,weekend,Sunday
61,Coffee,10/30/2016 13:15,afternoon,weekend,Sunday
62,Pick and Mix Bowls,10/30/2016 13:24,afternoon,weekend,Sunday
62,Hearty & Seasonal,10/30/2016 13:24,afternoon,weekend,Sunday
62,Hearty & Seasonal,10/30/2016 13:24,afternoon,weekend,Sunday
62,Coffee,10/30/2016 13:24,afternoon,weekend,Sunday
62,Smoothies,10/30/2016 13:24,afternoon,weekend,Sunday
62,Coffee,10/30/2016 13:24,afternoon,weekend,Sunday
63,Coffee,10/30/2016 13:33,afternoon,weekend,Sunday
64,Cake,10/30/2016 13:34,afternoon,weekend,Sunday
65,Tartine,10/30/2016 13:37,afternoon,weekend,Sunday
65,Mighty Protein,10/30/2016 13:37,afternoon,weekend,Sunday
65,Tea,10/30/2016 13:37,afternoon,weekend,Sunday
65,Coffee,10/30/2016 13:37,afternoon,weekend,Sunday
66,Hearty & Seasonal,10/30/2016 13:40,afternoon,weekend,Sunday
66,Frittata,10/30/2016 13:40,afternoon,weekend,Sunday
66,Mineral water,10/30/2016 13:40,afternoon,weekend,Sunday
67,Hearty & Seasonal,10/30/2016 13:46,afternoon,weekend,Sunday
67,Mineral water,10/30/2016 13:46,afternoon,weekend,Sunday
67,Muffin,10/30/2016 13:46,afternoon,weekend,Sunday
68,Frittata,10/30/2016 13:49,afternoon,weekend,Sunday
68,Coffee,10/30/2016 13:49,afternoon,weekend,Sunday
68,Tea,10/30/2016 13:49,afternoon,weekend,Sunday
68,Scandinavian,10/30/2016 13:49,afternoon,weekend,Sunday
68,Chicken sand,10/30/2016 13:49,afternoon,weekend,Sunday
69,Bread,10/30/2016 13:51,afternoon,weekend,Sunday
69,Tea,10/30/2016 13:51,afternoon,weekend,Sunday
69,Victorian Sponge,10/30/2016 13:51,afternoon,weekend,Sunday
70,Fudge,10/30/2016 13:54,afternoon,weekend,Sunday
71,Muffin,10/30/2016 13:56,afternoon,weekend,Sunday
72,Coffee,10/30/2016 14:21,afternoon,weekend,Sunday
72,Bread,10/30/2016 14:21,afternoon,weekend,Sunday
73,Bread,10/30/2016 14:22,afternoon,weekend,Sunday
74,Coffee,10/30/2016 14:24,afternoon,weekend,Sunday
74,Bread,10/30/2016 14:24,afternoon,weekend,Sunday
75,Jam,10/30/2016 14:32,afternoon,weekend,Sunday
75,Frittata,10/30/2016 14:32,afternoon,weekend,Sunday
76,Coffee,10/30/2016 14:32,afternoon,weekend,Sunday
77,Scandinavian,10/30/2016 14:35,afternoon,weekend,Sunday
78,Fudge,10/30/2016 14:42,afternoon,weekend,Sunday
79,Fudge,10/30/2016 14:45,afternoon,weekend,Sunday
79,Tea,10/30/2016 14:45,afternoon,weekend,Sunday
79,Coffee,10/30/2016 14:45,afternoon,weekend,Sunday
79,Muffin,10/30/2016 14:45,afternoon,weekend,Sunday
80,Frittata,10/30/2016 14:48,afternoon,weekend,Sunday
80,Bread,10/30/2016 14:48,afternoon,weekend,Sunday
80,Coffee,10/30/2016 14:48,afternoon,weekend,Sunday
81,Coffee,10/31/2016 8:28,morning,weekday,Monday
81,Cake,10/31/2016 8:28,morning,weekday,Monday
82,Tartine,10/31/2016 8:47,morning,weekday,Monday
82,Bread,10/31/2016 8:47,morning,weekday,Monday
83,Coffee,10/31/2016 8:57,morning,weekday,Monday
83,Bread,10/31/2016 8:57,morning,weekday,Monday
84,Bread,10/31/2016 9:04,morning,weekday,Monday
85,Coffee,10/31/2016 9:10,morning,weekday,Monday
85,Coffee,10/31/2016 9:10,morning,weekday,Monday
85,Pastry,10/31/2016 9:10,morning,weekday,Monday
85,Medialuna,10/31/2016 9:10,morning,weekday,Monday
86,Juice,10/31/2016 9:11,morning,weekday,Monday
87,Bread,10/31/2016 9:12,morning,weekday,Monday
88,Coffee,10/31/2016 9:16,morning,weekday,Monday
88,Coffee,10/31/2016 9:16,morning,weekday,Monday
88,Jam,10/31/2016 9:16,morning,weekday,Monday
89,Bread,10/31/2016 9:19,morning,weekday,Monday
90,Bread,10/31/2016 9:20,morning,weekday,Monday
90,Coffee,10/31/2016 9:20,morning,weekday,Monday
91,Tea,10/31/2016 9:22,morning,weekday,Monday
92,Coffee,10/31/2016 9:27,morning,weekday,Monday
93,Bread,10/31/2016 9:29,morning,weekday,Monday
93,Coke,10/31/2016 9:29,morning,weekday,Monday
94,Coffee,10/31/2016 9:39,morning,weekday,Monday
94,Coffee,10/31/2016 9:39,morning,weekday,Monday
95,Tea,10/31/2016 9:43,morning,weekday,Monday
95,Pastry,10/31/2016 9:43,morning,weekday,Monday
95,Farm House,10/31/2016 9:43,morning,weekday,Monday
96,Pastry,10/31/2016 9:46,morning,weekday,Monday
96,Pastry,10/31/2016 9:46,morning,weekday,Monday
96,Coffee,10/31/2016 9:46,morning,weekday,Monday
96,Juice,10/31/2016 9:46,morning,weekday,Monday
97,Coffee,10/31/2016 9:51,morning,weekday,Monday
97,Pastry,10/31/2016 9:51,morning,weekday,Monday
97,Juice,10/31/2016 9:51,morning,weekday,Monday
98,Farm House,10/31/2016 9:52,morning,weekday,Monday
99,Pastry,10/31/2016 9:56,morning,weekday,Monday
99,Pastry,10/31/2016 9:56,morning,weekday,Monday
99,Coffee,10/31/2016 9:56,morning,weekday,Monday
99,Bread,10/31/2016 9:56,morning,weekday,Monday
100,Bread,10/31/2016 9:58,morning,weekday,Monday
101,Coffee,10/31/2016 10:04,morning,weekday,Monday
101,Pastry,10/31/2016 10:04,morning,weekday,Monday
102,Farm House,10/31/2016 10:04,morning,weekday,Monday
103,Bread,10/31/2016 10:07,morning,weekday,Monday
104,Coffee,10/31/2016 10:12,morning,weekday,Monday
104,Coffee,10/31/2016 10:12,morning,weekday,Monday
104,Medialuna,10/31/2016 10:12,morning,weekday,Monday
104,Muffin,10/31/2016 10:12,morning,weekday,Monday
104,Coffee,10/31/2016 10:12,morning,weekday,Monday
105,Coffee,10/31/2016 10:21,morning,weekday,Monday
105,Tea,10/31/2016 10:21,morning,weekday,Monday
105,Cake,10/31/2016 10:21,morning,weekday,Monday
106,Coffee,10/31/2016 10:24,morning,weekday,Monday
106,Coffee,10/31/2016 10:24,morning,weekday,Monday
106,Pastry,10/31/2016 10:24,morning,weekday,Monday
106,Pastry,10/31/2016 10:24,morning,weekday,Monday
107,Coffee,10/31/2016 10:27,morning,weekday,Monday
107,Tea,10/31/2016 10:27,morning,weekday,Monday
108,Farm House,10/31/2016 10:31,morning,weekday,Monday
108,Muffin,10/31/2016 10:31,morning,weekday,Monday
109,Bread,10/31/2016 10:35,morning,weekday,Monday
109,Muffin,10/31/2016 10:35,morning,weekday,Monday
109,Pastry,10/31/2016 10:35,morning,weekday,Monday
110,Pastry,10/31/2016 10:36,morning,weekday,Monday
111,Coffee,10/31/2016 10:38,morning,weekday,Monday
112,Coffee,10/31/2016 10:59,morning,weekday,Monday
113,Coffee,10/31/2016 11:02,morning,weekday,Monday
113,Cake,10/31/2016 11:02,morning,weekday,Monday
114,Farm House,10/31/2016 11:05,morning,weekday,Monday
115,Bread,10/31/2016 11:08,morning,weekday,Monday
116,Coffee,10/31/2016 11:11,morning,weekday,Monday
117,Cookies,10/31/2016 11:13,morning,weekday,Monday
117,Cake,10/31/2016 11:13,morning,weekday,Monday
117,Coffee,10/31/2016 11:13,morning,weekday,Monday
117,My-5 Fruit Shoot,10/31/2016 11:13,morning,weekday,Monday
118,Cookies,10/31/2016 11:18,morning,weekday,Monday
118,Cookies,10/31/2016 11:18,morning,weekday,Monday
118,Tea,10/31/2016 11:18,morning,weekday,Monday
118,Pastry,10/31/2016 11:18,morning,weekday,Monday
119,Coffee,10/31/2016 11:25,morning,weekday,Monday
119,Coffee,10/31/2016 11:25,morning,weekday,Monday
119,Muffin,10/31/2016 11:25,morning,weekday,Monday
120,Farm House,10/31/2016 11:29,morning,weekday,Monday
121,Coffee,10/31/2016 11:30,morning,weekday,Monday
121,Bread,10/31/2016 11:30,morning,weekday,Monday
122,Cookies,10/31/2016 11:37,morning,weekday,Monday
123,Jam,10/31/2016 11:42,morning,weekday,Monday
123,Coffee,10/31/2016 11:42,morning,weekday,Monday
123,Coffee,10/31/2016 11:42,morning,weekday,Monday
123,Juice,10/31/2016 11:42,morning,weekday,Monday
124,Coffee,10/31/2016 11:43,morning,weekday,Monday
124,Soup,10/31/2016 11:43,morning,weekday,Monday
125,Tea,10/31/2016 11:47,morning,weekday,Monday
126,Coffee,10/31/2016 11:52,morning,weekday,Monday
126,Jam,10/31/2016 11:52,morning,weekday,Monday
127,Farm House,10/31/2016 11:53,morning,weekday,Monday
128,Tartine,10/31/2016 11:55,morning,weekday,Monday
128,Coffee,10/31/2016 11:55,morning,weekday,Monday
128,Tea,10/31/2016 11:55,morning,weekday,Monday
129,Coffee,10/31/2016 11:59,morning,weekday,Monday
129,Coffee,10/31/2016 11:59,morning,weekday,Monday
129,Cake,10/31/2016 11:59,morning,weekday,Monday
130,Coffee,10/31/2016 12:03,afternoon,weekday,Monday
130,Coffee,10/31/2016 12:03,afternoon,weekday,Monday
130,Muffin,10/31/2016 12:03,afternoon,weekday,Monday
131,Bread,10/31/2016 12:08,afternoon,weekday,Monday
131,Coffee,10/31/2016 12:08,afternoon,weekday,Monday
132,Tea,10/31/2016 12:14,afternoon,weekday,Monday
132,Juice,10/31/2016 12:14,afternoon,weekday,Monday
132,Pick and Mix Bowls,10/31/2016 12:14,afternoon,weekday,Monday
132,Cookies,10/31/2016 12:14,afternoon,weekday,Monday
133,Hearty & Seasonal,10/31/2016 12:16,afternoon,weekday,Monday
133,Soup,10/31/2016 12:16,afternoon,weekday,Monday
134,Hearty & Seasonal,10/31/2016 12:19,afternoon,weekday,Monday
134,Tea,10/31/2016 12:19,afternoon,weekday,Monday
134,Farm House,10/31/2016 12:19,afternoon,weekday,Monday
135,Bread,10/31/2016 12:20,afternoon,weekday,Monday
136,Tea,10/31/2016 12:27,afternoon,weekday,Monday
136,Soup,10/31/2016 12:27,afternoon,weekday,Monday
137,Farm House,10/31/2016 12:37,afternoon,weekday,Monday
138,Soup,10/31/2016 12:43,afternoon,weekday,Monday
138,Hearty & Seasonal,10/31/2016 12:43,afternoon,weekday,Monday
138,Coffee,10/31/2016 12:43,afternoon,weekday,Monday
139,Bread,10/31/2016 12:50,afternoon,weekday,Monday
139,Muffin,10/31/2016 12:50,afternoon,weekday,Monday
139,Hearty & Seasonal,10/31/2016 12:50,afternoon,weekday,Monday
140,Coffee,10/31/2016 12:53,afternoon,weekday,Monday
140,Coffee,10/31/2016 12:53,afternoon,weekday,Monday
140,Cookies,10/31/2016 12:53,afternoon,weekday,Monday
141,Bread,10/31/2016 12:54,afternoon,weekday,Monday
142,Tea,10/31/2016 12:56,afternoon,weekday,Monday
142,Muffin,10/31/2016 12:56,afternoon,weekday,Monday
143,Tea,10/31/2016 12:59,afternoon,weekday,Monday
144,Soup,10/31/2016 13:02,afternoon,weekday,Monday
144,Hearty & Seasonal,10/31/2016 13:02,afternoon,weekday,Monday
145,Coffee,10/31/2016 13:05,afternoon,weekday,Monday
145,Tea,10/31/2016 13:05,afternoon,weekday,Monday
145,Focaccia,10/31/2016 13:05,afternoon,weekday,Monday
146,Sandwich,10/31/2016 13:08,afternoon,weekday,Monday
147,Tartine,10/31/2016 13:09,afternoon,weekday,Monday
147,Coffee,10/31/2016 13:09,afternoon,weekday,Monday
148,Fudge,10/31/2016 13:21,afternoon,weekday,Monday
148,Coffee,10/31/2016 13:21,afternoon,weekday,Monday
148,Coffee,10/31/2016 13:21,afternoon,weekday,Monday
149,Coffee,10/31/2016 13:26,afternoon,weekday,Monday
150,Bread,10/31/2016 13:31,afternoon,weekday,Monday
151,Coke,10/31/2016 13:50,afternoon,weekday,Monday
151,Soup,10/31/2016 13:50,afternoon,weekday,Monday
152,Muffin,10/31/2016 13:51,afternoon,weekday,Monday
153,Tea,10/31/2016 13:55,afternoon,weekday,Monday
153,Coffee,10/31/2016 13:55,afternoon,weekday,Monday
153,Cookies,10/31/2016 13:55,afternoon,weekday,Monday
153,Muffin,10/31/2016 13:55,afternoon,weekday,Monday
154,Mighty Protein,10/31/2016 14:00,afternoon,weekday,Monday
154,Hearty & Seasonal,10/31/2016 14:00,afternoon,weekday,Monday
154,Coffee,10/31/2016 14:00,afternoon,weekday,Monday
